rate,c0,method_code,method,n_cal,n_cal_eng,coverage,cov_dec,n_dec,n,"cov[0,15)","cov[15,30)","cov[30,60)","cov[60,125]",mean_L,trivial
0.2,50,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9719418142944412,0.5692262602579132,853,13096.0,0.634,0.5614785992217899,0.7355145413870245,1.0,45.38764925648325,0.0
0.4,20,E,E  无删失参照,8061,40,0.9943494196701282,0.308411214953271,107,13096.0,0.08,0.8910505836575876,1.0,1.0,19.897754157079337,0.0
0.4,20,A,A  丢弃删失机,5399,28,0.9937385461209529,0.2336448598130841,107,13096.0,0.04,0.867704280155642,1.0,1.0,19.882883872286314,0.0
0.4,20,B,B  把下线当失效,7091,40,0.9951893708002444,0.411214953271028,107,13096.0,0.14,0.9221789883268483,1.0,1.0,18.91482942990968,0.0
0.4,20,Cu,Cu 选样本不加权,6794,40,0.9932803909590715,0.17757009345794392,107,13096.0,0.0,0.8521400778210116,1.0,1.0,19.924625688982093,0.0
0.4,20,Cw,Cw 选样本加权,6794,40,0.9934331093463653,0.19626168224299065,107,13096.0,0.0,0.8599221789883269,1.0,1.0,19.838269467414865,0.0
0.4,20,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9953649969456322,0.43271028037383175,107,13096.0,0.231,0.9134241245136187,1.0,1.0,18.430813866683962,0.0001336285888821014
0.4,30,E,E  无删失参照,8061,40,0.9870952962736713,0.4495114006514658,307,13096.0,0.34,0.4708171206225681,1.0,1.0,29.60168984743945,0.0
0.4,30,A,A  丢弃删失机,5399,28,0.985568112400733,0.38436482084690554,307,13096.0,0.14,0.43190661478599224,1.0,1.0,29.265556540297222,0.0
0.4,30,B,B  把下线当失效,7091,40,0.9889279169211973,0.5276872964169381,307,13096.0,0.12,0.6070038910505836,1.0,1.0,27.383411712335306,0.0
0.4,30,Cu,Cu 选样本不加权,6624,40,0.9832773365913255,0.28664495114006516,307,13096.0,0.1,0.3229571984435798,1.0,1.0,29.67034194178227,0.0
0.4,30,Cw,Cw 选样本加权,6624,40,0.98564447159438,0.38762214983713356,307,13096.0,0.14,0.4357976653696498,1.0,1.0,28.666293654273574,0.0
0.4,30,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9879657910812464,0.4866449511400651,307,13096.0,0.26799999999999996,0.529182879377432,1.0,1.0,28.42799253648804,0.00022907758094074527
0.4,50,E,E  无删失参照,8061,40,0.9670128283445327,0.4935521688159437,853,13096.0,0.68,0.48249027237354086,0.6834451901565995,1.0,46.48243278952084,0.0
0.4,50,A,A  丢弃删失机,5399,28,0.9700671960904093,0.5404454865181711,853,13096.0,0.58,0.42023346303501946,0.7516778523489933,1.0,44.9103326875559,0.0
0.4,50,B,B  把下线当失效,7091,40,0.9872480146609652,0.8042203985932005,853,13096.0,0.8,0.708171206225681,0.9082774049217002,1.0,39.96717234605946,0.0
0.4,50,Cu,Cu 选样本不加权,6252,40,0.9608277336591325,0.39859320046893315,853,13096.0,0.24,0.29571984435797666,0.6711409395973155,1.0,46.00012881819773,0.0
0.4,50,Cw,Cw 选样本加权,6252,40,0.9704489920586439,0.5463071512309496,853,13096.0,0.54,0.41245136186770426,0.761744966442953,1.0,43.956828302884645,0.0
0.4,50,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9785927000610872,0.6713364595545135,853,13096.0,0.728,0.561089494163424,0.8277964205816556,1.0,42.27207656772343,0.0010384850335980452
0.6,20,E,E  无删失参照,8061,40,0.9943494196701282,0.308411214953271,107,13096.0,0.08,0.8910505836575876,1.0,1.0,19.897754157079337,0.0
0.6,20,A,A  丢弃删失机,3236,16,0.9948075748320098,0.3644859813084112,107,13096.0,0.2,0.8910505836575876,1.0,1.0,19.856028142979373,0.0
0.6,20,B,B  把下线当失效,6493,40,0.9967929138668296,0.6074766355140186,107,13096.0,0.44,0.9455252918287937,1.0,1.0,18.499386614234986,0.0
0.6,20,Cu,Cu 选样本不加权,5993,40,0.9951893708002444,0.411214953271028,107,13096.0,0.24,0.9027237354085603,1.0,1.0,19.901563373355614,0.0
0.6,20,Cw,Cw 选样本加权,5993,40,0.9954184483811851,0.4392523364485981,107,13096.0,0.26,0.9105058365758755,1.0,1.0,19.713191562666424,0.0
0.6,20,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9964760232131951,0.5686915887850467,107,13096.0,0.44300000000000006,0.9287937743190662,1.0,1.0,19.007863519771064,0.004447923029932804
0.6,30,E,E  无删失参照,8061,40,0.9870952962736713,0.4495114006514658,307,13096.0,0.34,0.4708171206225681,1.0,1.0,29.60168984743945,0.0
0.6,30,A,A  丢弃删失机,3236,16,0.9899205864386073,0.5700325732899023,307,13096.0,0.38,0.6070038910505836,1.0,1.0,29.53136944791719,0.0
0.6,30,B,B  把下线当失效,6493,40,0.9986255345143555,0.9413680781758957,307,13096.0,0.82,0.9649805447470817,1.0,1.0,24.363231237489256,0.0
0.6,30,Cu,Cu 选样本不加权,5742,40,0.9894624312767257,0.5504885993485342,307,13096.0,0.3,0.5992217898832685,1.0,1.0,29.661839957657598,0.0
0.6,30,Cw,Cw 选样本加权,5742,40,0.9898442272449602,0.5667752442996743,307,13096.0,0.3,0.6186770428015564,1.0,1.0,29.62044123188805,0.0
0.6,30,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.990859804520464,0.6100977198697068,307,13096.0,0.375,0.6558365758754863,1.0,1.0,29.25286909741626,0.005723121563836286
0.6,50,E,E  无删失参照,8061,40,0.9670128283445327,0.4935521688159437,853,13096.0,0.68,0.48249027237354086,0.6834451901565995,1.0,46.48243278952084,0.0
0.6,50,A,A  丢弃删失机,3236,16,0.9717470983506414,0.5662368112543963,853,13096.0,0.52,0.5758754863813229,0.7348993288590604,1.0,46.417235169017616,0.0
0.6,50,B,B  把下线当失效,6493,40,0.9999236408063531,0.9988276670574443,853,13096.0,1.0,0.9961089494163424,1.0,1.0,29.42921516314295,0.0
0.6,50,Cu,Cu 选样本不加权,5171,40,0.9622785583384239,0.4208675263774912,853,13096.0,0.26,0.4591439688715953,0.6442953020134228,1.0,48.33487551619719,0.0
0.6,50,Cw,Cw 选样本加权,5171,40,0.9639584605986561,0.4466588511137163,853,13096.0,0.34,0.46303501945525294,0.6633109619686801,1.0,47.921512751597724,0.0
0.6,50,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9698724801466098,0.5374560375146541,853,13096.0,0.4960000000000001,0.5581712062256808,0.7138702460850113,1.0,47.0358736496704,0.00931582162492364
